Sample,X(ms) [12.08.2026 16:46:29 040 UTC],"I1[%I17.0]","I2[%I17.1]","I3[%I17.2]","I4[%I17.3]","Q1[%Q4.0]","Q2[%Q4.1]","Q3[%Q4.2]","Q4[%Q4.3]"
234834,1786553427010.699228,0,0,1,0,0,1,0,0
234835,1786553427011.709316,0,0,1,0,0,1,0,0
234836,1786553427012.714203,0,0,1,0,0,1,0,0
234837,1786553427013.725990,0,0,1,0,0,1,0,0
234838,1786553427014.731178,0,0,1,0,0,1,0,0
234839,1786553427015.742667,0,0,1,0,0,1,0,0
234840,1786553427016.767955,0,0,1,0,0,1,0,0
234841,1786553427017.762243,0,0,1,0,0,1,0,0
234842,1786553427018.768930,0,0,1,0,0,1,0,0
234843,1786553427019.777117,0,0,1,0,0,1,0,0
234844,1786553427020.787506,0,0,1,0,0,1,0,0
234845,1786553427021.797094,0,0,1,0,0,1,0,0
234846,1786553427022.805082,0,0,1,0,0,1,0,0
234847,1786553427023.814672,0,0,1,0,0,1,0,0
234848,1786553427024.841260,0,0,1,0,0,1,0,0
234849,1786553427025.843248,0,0,1,0,0,1,0,0
234850,1786553427026.858936,0,0,1,0,0,1,0,0
234851,1786553427027.865523,0,0,1,0,0,1,0,0
234852,1786553427028.874411,0,0,1,0,0,1,0,0
234853,1786553427029.880198,0,0,1,0,0,1,0,0
234854,1786553427030.899986,0,0,1,0,0,1,0,0
234855,1786553427031.903173,0,0,1,0,0,1,0,0
234856,1786553427032.909361,0,0,1,0,0,1,0,0
234857,1786553427033.914448,0,0,1,0,0,1,0,0
234858,1786553427034.928937,0,0,1,0,0,1,0,0
234859,1786553427035.929723,0,0,1,0,0,1,0,0
234860,1786553427036.936412,0,0,1,0,0,1,0,0
234861,1786553427037.944699,0,0,1,0,0,1,0,0
234862,1786553427038.953486,0,0,1,0,0,1,0,0
234863,1786553427039.962074,0,0,1,0,0,1,0,0
234864,1786553427040.969862,0,0,1,0,0,1,0,0
234865,1786553427041.988050,0,0,1,0,0,1,0,0
234866,1786553427042.997438,0,0,1,0,0,1,0,0
234867,1786553427043.999425,0,0,1,0,0,1,0,0
234868,1786553427045.003412,0,0,1,0,0,1,0,0
234869,1786553427046.012099,0,0,1,0,0,1,0,0
234870,1786553427047.482227,0,0,1,0,0,1,0,0
234871,1786553427048.040476,0,0,1,0,0,1,0,0
234872,1786553427049.046663,0,0,1,0,0,1,0,0
234873,1786553427050.051051,0,0,1,0,0,1,0,0
234874,1786553427051.057039,0,0,1,0,0,1,0,0
234875,1786553427052.065327,0,0,1,0,0,1,0,0
234876,1786553427053.078416,0,0,1,0,0,1,0,0
234877,1786553427054.080303,0,0,1,0,0,1,0,0
234878,1786553427055.086191,0,0,1,0,0,1,0,0
234879,1786553427056.091578,0,0,1,0,0,1,0,0
234880,1786553427057.099164,0,0,1,0,0,1,0,0
234881,1786553427058.106552,0,0,1,0,0,1,0,0
234882,1786553427059.122439,0,0,1,0,0,1,0,0
234883,1786553427060.126724,0,0,1,0,0,1,0,0
234884,1786553427061.133411,0,0,1,0,0,1,0,0
234885,1786553427062.141199,0,0,1,0,0,1,0,0
234886,1786553427063.162688,0,0,1,0,0,1,0,0
234887,1786553427064.164075,0,0,1,0,0,1,0,0
234888,1786553427065.170063,0,0,1,0,0,1,0,0
234889,1786553427066.177551,0,0,1,0,0,1,0,0
234890,1786553427067.185338,0,0,1,0,0,1,0,0
234891,1786553427068.193726,0,0,1,0,0,1,0,0
234892,1786553427069.200813,0,0,1,0,0,1,0,0
234893,1786553427070.210000,0,0,1,0,0,1,0,0
234894,1786553427071.217989,0,0,1,0,0,1,0,0
234895,1786553427072.225975,0,0,1,0,0,1,0,0
234896,1786553427073.237263,0,0,1,0,0,1,0,0
234897,1786553427074.241849,0,0,1,0,0,1,0,0
234898,1786553427075.252238,0,0,1,0,0,1,0,0
234899,1786553427076.266927,0,0,1,0,0,1,0,0
234900,1786553427077.270314,0,0,1,0,0,1,0,0
234901,1786553427078.437815,0,0,1,0,0,1,0,0
234902,1786553427079.377597,0,0,1,0,0,1,0,0
234903,1786553427080.382482,0,0,1,0,0,1,0,0
234904,1786553427081.391671,0,0,1,0,0,1,0,0
234905,1786553427082.398459,0,0,1,0,0,1,0,0
234906,1786553427083.405745,0,0,1,0,0,1,0,0
234907,1786553427084.414732,0,0,1,0,0,1,0,0
234908,1786553427085.421922,0,0,1,0,0,1,0,0
234909,1786553427086.453911,0,0,1,0,0,1,0,0
234910,1786553427087.440198,0,0,1,0,0,1,0,0
234911,1786553427088.449085,0,0,1,0,0,1,0,0
234912,1786553427089.455173,0,0,1,0,0,1,0,0
234913,1786553427090.477162,0,0,1,0,0,1,0,0
234914,1786553427091.471545,0,0,1,0,0,1,0,0
234915,1786553427092.499835,0,0,1,0,0,1,0,0
234916,1786553427093.506623,0,0,1,0,0,1,0,0
234917,1786553427094.510512,0,0,1,0,0,1,0,0
234918,1786553427095.519498,0,0,1,0,0,1,0,0
234919,1786553427096.526388,0,0,1,0,0,1,0,0
234920,1786553427097.532476,0,0,1,0,0,1,0,0
234921,1786553427098.537762,0,0,1,0,0,1,0,0
234922,1786553427099.545451,0,0,1,0,0,1,0,0
234923,1786553427100.552438,0,0,1,0,0,1,0,0
234924,1786553427101.567127,0,0,1,0,0,1,0,0
234925,1786553427102.576314,0,0,1,0,0,1,0,0
234926,1786553427103.584603,0,0,1,0,0,1,0,0
234927,1786553427104.590991,0,0,1,0,0,1,0,0
234928,1786553427105.599680,0,0,1,0,0,1,0,0
234929,1786553427106.606067,0,0,1,0,0,1,0,0
234930,1786553427107.614953,0,0,1,0,0,1,0,0
234931,1786553427108.635041,0,0,1,0,0,1,0,0
234932,1786553427110.070167,0,0,1,0,0,1,0,0
234933,1786553427111.061954,0,0,1,0,0,1,0,0
234934,1786553427112.067342,0,0,1,0,0,1,0,0
234935,1786553427113.074330,0,0,1,0,0,1,0,0
234936,1786553427114.081417,0,0,1,0,0,1,0,0
234937,1786553427115.089605,0,0,1,0,0,1,0,0
234938,1786553427116.096894,0,0,1,0,0,1,0,0
234939,1786553427117.104780,0,0,1,0,0,1,0,0
234940,1786553427118.113166,0,0,1,0,0,1,0,0
234941,1786553427119.119555,0,0,1,0,0,1,0,0
234942,1786553427120.128044,0,0,1,0,0,1,0,0
234943,1786553427121.136531,0,0,1,0,0,1,0,0
234944,1786553427122.148619,0,0,1,0,0,1,0,0
234945,1786553427123.153206,0,0,1,0,0,1,0,0
234946,1786553427124.173395,0,0,1,0,0,1,0,0
234947,1786553427125.189983,0,0,1,0,0,1,0,0
234948,1786553427126.193770,0,0,1,0,0,1,0,0
234949,1786553427127.191356,0,0,1,0,0,1,0,0
234950,1786553427128.200043,0,0,1,0,0,1,0,0
234951,1786553427129.205629,0,0,1,0,0,1,0,0
234952,1786553427130.213517,0,0,1,0,0,1,0,0
234953,1786553427131.221406,0,0,1,0,0,1,0,0
234954,1786553427132.228395,0,0,1,0,0,1,0,0
234955,1786553427133.236782,0,0,1,0,0,1,0,0
234956,1786553427134.244070,0,0,1,0,0,1,0,0
234957,1786553427135.251759,0,0,1,0,0,1,0,0
234958,1786553427136.260146,0,0,1,0,0,1,0,0
234959,1786553427137.268633,0,0,1,0,0,1,0,0
234960,1786553427138.275621,0,0,1,0,0,1,0,0
234961,1786553427139.282809,0,0,1,0,0,1,0,0
234962,1786553427140.607523,0,0,1,0,0,1,0,0
234963,1786553427141.617511,0,0,1,0,0,1,0,0
234964,1786553427142.611896,0,0,1,0,0,1,0,0
234965,1786553427143.619083,0,0,1,0,0,1,0,0
234966,1786553427144.628071,0,0,1,0,0,1,0,0
234967,1786553427145.634260,0,0,1,0,0,1,0,0
234968,1786553427146.642148,0,0,1,0,0,1,0,0
234969,1786553427147.648135,0,0,1,0,0,1,0,0
234970,1786553427148.655824,0,0,1,0,0,1,0,0
234971,1786553427149.663313,0,0,1,0,0,1,0,0
234972,1786553427150.671700,0,0,1,0,0,1,0,0
234973,1786553427151.679389,0,0,1,0,0,1,0,0
234974,1786553427152.688177,0,0,1,0,0,1,0,0
234975,1786553427153.696663,0,0,1,0,0,1,0,0
234976,1786553427154.712652,0,0,1,0,0,1,0,0
234977,1786553427155.715538,0,0,1,0,0,1,0,0
234978,1786553427156.721125,0,0,1,0,0,1,0,0
234979,1786553427157.739914,0,0,1,0,0,1,0,0
234980,1786553427158.743000,0,0,1,0,0,1,0,0
234981,1786553427159.756588,0,0,1,0,0,1,0,0
234982,1786553427160.764775,0,0,1,0,0,1,0,0
234983,1786553427161.774162,0,0,1,0,0,1,0,0
234984,1786553427162.786451,0,0,1,0,0,1,0,0
234985,1786553427163.795339,0,0,1,0,0,1,0,0
234986,1786553427164.811526,0,0,1,0,0,1,0,0
234987,1786553427165.812913,0,0,1,0,0,1,0,0
234988,1786553427166.831699,0,0,1,0,0,1,0,0
234989,1786553427167.839587,0,0,1,0,0,1,0,0
234990,1786553427168.846675,0,0,1,0,0,1,0,0
234991,1786553427169.856064,0,0,1,0,0,1,0,0
234992,1786553427170.914857,0,0,1,0,0,1,0,0
234993,1786553427171.880240,0,0,1,0,0,1,0,0
234994,1786553427172.885428,0,0,1,0,0,1,0,0
234995,1786553427173.900917,0,0,1,0,0,1,0,0
234996,1786553427174.916206,0,0,1,0,0,1,0,0
234997,1786553427175.912790,0,0,1,0,0,1,0,0
234998,1786553427176.918577,0,0,1,0,0,1,0,0
